Involvement ID;Investor ID Downstream;Investor Name Downstream;Investor ID Upstream;Investor Name Upstream;Relation type;Investment type;Ownership share;Loan amount;Loan currency;Loan date;Comment
14862;46562;AMEA Power Doornhoek PV (Pty) Ltd;44795;The Industrial Development Corporation (IDC);Третичный инвестор/заимодатель;Доли капитала;;8000000.0;US Dollar ($);;The Industrial Development Corporation (IDC) is contributing $8 million in the form of an equity investment in the project’s two other shareholders, South African companies Ziyanda Energy and Dzimuzwo Energy.
14863;46562;AMEA Power Doornhoek PV (Pty) Ltd;46566;Doornhoek Local  Community Trust;Материнская компания;Доли капитала;2.5;;;;
14864;46608;Transeastern Power BV;46609;Transeastern Power Trust;Материнская компания;;;;;;
14865;46603;Consorcio Gran Tierra - Petroamérica;1977;Gran Tierra Energy Inc.;Материнская компания;;;;;;Gran Tierra Energy y Petroamericana International Colombia conformaron el consorcio Gran Tierra - Petroamérica para operar el contrato E&P No 12 PUT -31
14866;46603;Consorcio Gran Tierra - Petroamérica;46604;Petroamericana International Colombia;Материнская компания;;;;;;Gran Tierra Energy y Petroamericana International Colombia conformaron el consorcio Gran Tierra - Petroamérica para operar el contrato E&P No 12 PUT -31
14867;46612;China National Heavy Machinery Corporation (CHMC);43903;China National Machinery Industry Corporation (Sinomach);Материнская компания;Доли капитала;100.0;;;;CHMC is a subsidiary of the China National Machinery Industry Corporation (Sinomach), which is a state-owned enterprise directly managed by the central government. 
14868;46341;Cambodian Tatay Hydropower Ltd. (CTHL);46612;China National Heavy Machinery Corporation (CHMC);Материнская компания;Доли капитала;;;;;
14869;46614;Cambodia Upper Tatay Hydropower Limitted;46612;China National Heavy Machinery Corporation (CHMC);Материнская компания;Доли капитала;;;;;Company set up as the operating company for the operations of the hydrodeam
14870;46615;Veroniki Wind SRL;46616;Veroniki Holding SpA;Материнская компания;;;;;;
14871;46601;China Datang Corporation (CDT);148;Government of China;Материнская компания;Доли капитала;100.0;;;;China Datang Corporation (CDT) is one of the five large-scale power generation enterprises in China, established on the basis of former State Power Corporation of China in 2002.
14872;46617;Cambodia Hydropower Development Co. Ltd (CHD);46601;China Datang Corporation (CDT);Материнская компания;Доли капитала;;;;;
14873;46617;Cambodia Hydropower Development Co. Ltd (CHD);45186;Yunnan Energy Investment Co., Ltd.;Материнская компания;;;;;;"C.H.D is one of the largest Chinese companies in the world working on saving and conserving water resources to generate electricity. The company is a joint venture of three Chinese companies namely China Datang Corporation, China Yunnan Corporation for International Techno-Economic Cooporation (CYC), and Yunnan Fortune Seecome Investment Industrial Co.,Ltd.? on Stung Atay hydropower plant investment project.
"
14874;46627;Krivača wind farm;42127;MK Group LLC;Материнская компания;;;;;;
14875;46627;Krivača wind farm;46628;ALFI Renewables LLC;Материнская компания;;;;;;
14876;46582;Greenstone Group;46583;Wintrading Holdings Limited;Материнская компания;Доли капитала;100.0;;;;
14877;39716;Kusto Agro Farming LLC;46367;Kusto Agro PTE LTD;Материнская компания;Доли капитала;100.0;;;;
14878;43741;Campo d'Oro SRL;3309;INGLEBY FARMS & FORESTS A/S;Материнская компания;;;;;;
14879;46524;Petrokorbivske LLC;41492;Agrovista LLC;Материнская компания;Доли капитала;99.0;;;;Code - 35623077
14880;41999;Novi Agrarni Tekhnologii LLC;46496;Izbinska Halyna Mykolaivna;Материнская компания;Доли капитала;13.0;;;;
14881;41999;Novi Agrarni Tekhnologii LLC;42020;Yaher Tonnis Chapko;Материнская компания;Доли капитала;29.0;;;;
14909;40006;PE Druzhba narodiv;46388;Taras Semyonovich Zavorotnyi;Материнская компания;Доли капитала;50.0;;;;
14910;40006;PE Druzhba narodiv;46389;Valery Semenovich Zavorotny;Материнская компания;Доли капитала;50.0;;;;
14915;46632;Bamboo Ecologic Corporation dba RIZOME;46633;Climate Impact Partners Limited;Материнская компания;;;;;;Climate Impact Partners Limited was the company that prepared the documents for the VCS registration although not stipulated they may be the ones in charge of the carbon credit management
14916;46632;Bamboo Ecologic Corporation dba RIZOME;46634;RIZOME Bamboo;Материнская компания;;;;;;RIZOME's bamboo is grown in subtropical Florida and the Philippines - a part of their program is the reforestation to aid the environment and local communities as they have a high trust in Bamboo as a sustainable Product.
14917;46632;Bamboo Ecologic Corporation dba RIZOME;46635;Bukidnon Tagoloanon Mulahay Ha Kabukalagan Agriculture Cooperative (BUKTAMACO);Материнская компания;;;;;;Buktamaco has been responsible for Bukidnon and Misamis Oriental Province management of the project.
14918;46632;Bamboo Ecologic Corporation dba RIZOME;46636;Kilambay Plantation Corporation (KPC);Материнская компания;;;;;;"Kilambay Plantation Corporation (KPC) is responsible for overseeing the implementation of the
second group of instances that was added to the project from 2023 within the province of North Cotabato."
14919;46637;EcoPlanet Bamboo Philippines, LLC;4170;EcoPlanet Bamboo Group, LLC;Материнская компания;Доли капитала;100.0;;;;"The land on which the project activities occur is held under a long term lease by a wholly owned
subsidiary of the project proponent, EcoPlanet Bamboo Group, LLC."
14920;40014;Lampka Agro LLC;46359;"APC ""ZORYA""";Материнская компания;Доли капитала;93.0;;;;Code - 04540532
14921;46156;New Agro Invest LLC;45241;PALANDED ENTERPRISES LIMITED;Материнская компания;Доли капитала;100.0;;;;Code - 39637311
14922;40600;New Agro Podillya LLC;46156;New Agro Invest LLC;Материнская компания;Доли капитала;19.3;;;;Code - 39637311
14923;46638;ZORYA AGRO GROUP LLC;46639;Amagere Holdings Limited;Материнская компания;;;;;;
14924;46638;ZORYA AGRO GROUP LLC;46640;Pavlo Babich Group;Материнская компания;;;;;;
14925;43044;Ukrainian Food Alliance Eco;46638;ZORYA AGRO GROUP LLC;Материнская компания;;;;;;
14926;40768;Kennemer Foods International, Inc. (KFI);46642;Kennemer Group;Материнская компания;Доли капитала;;;;;
14927;39645;Kochubiy LLC;41493;Agrofirm Hliborob LLC;Материнская компания;;;;;;
14928;46646;Lionheart Farms (Philippines) Corporation (LFPC);46647;Lionheart Agrotech Limited;Материнская компания;Доли капитала;100.0;;;;Lionheart Farms (Philippines) Corporation (LFPC), a wholly-owned subsidiary of Lionheart Agrotech Limited, entered into a Joint Venture Agreement (“JVA”) with the DENR under the provisions of DENR Administrative Order No. 2005-25
14929;46644;Cuatro Patas S.R.L.;46645;Lithium Mining Corporation;Материнская компания;;100.0;;;;
14930;46651;Vetroelektrane Balkana LLC;44399;Abu Dhabi Future Energy Company (Masdar);Материнская компания;;60.0;;;;
14931;46651;Vetroelektrane Balkana LLC;46652;Taaleri Energia;Материнская компания;;30.0;;;;
14932;46651;Vetroelektrane Balkana LLC;4402;DEG (Deutsche Investitions- und Entwicklungsgesellschaft);Материнская компания;;10.0;;;;
14933;42242;Minomax Investments Limited;3853;Agsen Limited;Материнская компания;Доли капитала;;;;;
14934;5071;RBPI Group;46588;RBPI (Thailand) Company Limited;Материнская компания;;;;;;
14935;42157;Khmelnytsk-Agro LLC;5029;Renvior Trading Limited;Материнская компания;Доли капитала;3.3;;;;
14936;41962;Trans Oil Group;4778;EBRD (European Bank of Reconstruction and Development);Третичный инвестор/заимодатель;Привлечение заемного капитала;;40000000.0;US Dollar ($);;Credit given in 2019
14937;46665;Blacklight Energies LLC;46666;Enlight Renewable Energy Ltd;Материнская компания;;100.0;;;;
14938;46663;Electrawinds K-Wind LLC;46664;Solaveris Limited LLC;Материнская компания;;;;;;
14939;46663;Electrawinds K-Wind LLC;46665;Blacklight Energies LLC;Материнская компания;;;;;;
14940;46667;Elicio Wind LLC;46668;Elicio NV;Материнская компания;;100.0;;;;
14941;46668;Elicio NV;46669;Nethys SA;Материнская компания;;100.0;;;;
14942;39327;OAO «Donskoe»;38913;RZ Agro Group;Материнская компания;Доли капитала;100.0;;;;
14943;46672;Vale Florestar S.A.;3926;Vale SA;Материнская компания;;;;;;
14944;39630;Agrofirma Semerenky LLC;908;Kernel Holding S.A.;Третичный инвестор/заимодатель;;;;;;
14945;39630;Agrofirma Semerenky LLC;45858;Estron Corporation Limited;Материнская компания;Доли капитала;100.0;;;;
14947;46625;Naryn Production Enterprise LLC;44783;EDB (Eurasian Development Bank);Третичный инвестор/заимодатель;Привлечение заемного капитала;;44000000.0;US Dollar ($);2023-02-02;"Financing structure:


the EDB – US $44,000,000

the Russian-Kyrgyz Development Fund – US $44,000,000

the Borrower’s own funds – not less than US $29,989,26"
14948;46681;China Electric Power Technology Import and Export Corporation (CETIC);148;Government of China;Материнская компания;Доли капитала;;;;;
14949;46621;CETIC, International Hydropower Development Co., Ltd.;46681;China Electric Power Technology Import and Export Corporation (CETIC);Материнская компания;Доли капитала;100.0;;;;The sole shareholder of the CETICI is China Electric Power Technology Import & Export Corporation (CETIC), which is qualified to undertake overseas projects, such as project contracting, labour service, electric power and other civil works
14950;37730;Mushiete et compagnie;46682;Olivier Mushiete;Материнская компания;Доли капитала;;;;;
14951;37730;Mushiete et compagnie;3743;Orbeo SAS;Третичный инвестор/заимодатель;;;;;;Carbon credits purchased 
14952;37730;Mushiete et compagnie;46683;Umicore;Третичный инвестор/заимодатель;Привлечение заемного капитала;;250000.0;Euro (€);;
14953;37730;Mushiete et compagnie;40261;Suez Group;Третичный инвестор/заимодатель;Привлечение заемного капитала;;250000.0;Euro (€);;
14954;46611;SP New Energy Corporation (SPNEC);45623;Solar Philippines Power Project Holdings, Inc. (Solar Philippines);Материнская компания;Доли капитала;37.93;;;;"As of April 12, 2024, SPNEC is 35.7% owned by MGen Renewable Energy, Inc., 37.93% owned by SP Project Holdings, and 3.2% owned by Metro Pacific Investments Corporation.
"
