kpi_enum,territory,territory_code,group,value,cnt_cost_not_null,layer,value_data,value_data_prev,month,year,territory_en
land_market_average_price_per_ga,Житомирська область,UA18000000000041385,,43302.33,,-1,,,11,2025,"Zhytomyr Oblast, Ukraine"
land_market_average_price_per_ga,Закарпатська область,UA21000000000011690,,68133.54,,-1,,,11,2025,"Zakarpattia Oblast, Ukraine"
land_market_average_price_per_ga,Запорізька область,UA23000000000064947,,28018.53,,-1,,,11,2025,"Zaporizhzhia Oblast, Ukraine"
land_market_average_price_per_ga,Івано-Франківська область,UA26000000000069363,,125979.14,,-1,,,11,2025,"Ivano-Frankivsk Oblast, Ukraine"
land_market_average_price_per_ga,Київська область,UA32000000000030281,,92016.39,,-1,,,11,2025,"Kyiv Oblast, Ukraine"
land_market_average_price_per_ga,Кіровоградська область,UA35000000000016081,,39692.27,,-1,,,11,2025,"Kirovohrad Oblast, Ukraine"
land_market_average_price_per_ga,Луганська область,UA44000000000018893,,25874.9,,-1,,,11,2025,"Luhansk Oblast, Ukraine"
land_market_average_price_per_ga,Львівська область,UA46000000000026241,,101303.24,,-1,,,11,2025,"Lviv Oblast, Ukraine"
land_market_average_price_per_ga,Миколаївська область,UA48000000000039575,,32451.09,,-1,,,11,2025,"Mykolaiv Oblast, Ukraine"
land_market_average_price_per_ga,Одеська область,UA51000000000030770,,39153.67,,-1,,,11,2025,"Odesa Oblast, Ukraine"
land_market_average_price_per_ga,Полтавська область,UA53000000000028050,,54425.45,,-1,,,11,2025,"Poltava Oblast, Ukraine"
land_market_average_price_per_ga,Рівненська область,UA56000000000066151,,54299.07,,-1,,,11,2025,"Rivne Oblast, Ukraine"
land_market_average_price_per_ga,Сумська область,UA59000000000057109,,35925.39,,-1,,,11,2025,"Sumy Oblast, Ukraine"
land_market_average_price_per_ga,Тернопільська область,UA61000000000060328,,69934.51,,-1,,,11,2025,"Ternopil Oblast, Ukraine"
land_market_average_price_per_ga,Харківська область,UA63000000000041885,,37301.99,,-1,,,11,2025,"Kharkiv Oblast, Ukraine"
land_market_average_price_per_ga,Херсонська область,UA65000000000030969,,25510.05,,-1,,,11,2025,"Kherson Oblast, Ukraine"
land_market_average_price_per_ga,Хмельницька область,UA68000000000099709,,52685.93,,-1,,,11,2025,"Khmelnytskyi Oblast, Ukraine"
land_market_average_price_per_ga,Черкаська область,UA71000000000010357,,48930.98,,-1,,,11,2025,"Cherkasy Oblast, Ukraine"
land_market_average_price_per_ga,Чернівецька область,UA73000000000044923,,59653.03,,-1,,,11,2025,"Chernivtsi Oblast, Ukraine"
land_market_average_price_per_ga,Чернігівська область,UA74000000000025378,,37371.19,,-1,,,11,2025,"Chernihiv Oblast, Ukraine"
land_market_average_price_per_ga,Україна,UA00000000000000000,,62396.44,,-1,,,12,2025,Ukraine
land_market_average_price_per_ga,Вінницька область,UA05000000000010236,,56005.9,,-1,,,12,2025,"Vinnytsia Oblast, Ukraine"
land_market_average_price_per_ga,Волинська область,UA07000000000024379,,45765.41,,-1,,,12,2025,"Volyn Oblast, Ukraine"
land_market_average_price_per_ga,Дніпропетровська область,UA12000000000090473,,40882.8,,-1,,,12,2025,"Dnipropetrovsk Oblast, Ukraine"
land_market_average_price_per_ga,Донецька область,UA14000000000091971,,29996.84,,-1,,,12,2025,"Donetsk Oblast, Ukraine"
land_market_average_price_per_ga,Житомирська область,UA18000000000041385,,44232.63,,-1,,,12,2025,"Zhytomyr Oblast, Ukraine"
land_market_average_price_per_ga,Закарпатська область,UA21000000000011690,,68908.9,,-1,,,12,2025,"Zakarpattia Oblast, Ukraine"
land_market_average_price_per_ga,Запорізька область,UA23000000000064947,,29143.55,,-1,,,12,2025,"Zaporizhzhia Oblast, Ukraine"
land_market_average_price_per_ga,Івано-Франківська область,UA26000000000069363,,139464.03,,-1,,,12,2025,"Ivano-Frankivsk Oblast, Ukraine"
land_market_average_price_per_ga,Київська область,UA32000000000030281,,90330.78,,-1,,,12,2025,"Kyiv Oblast, Ukraine"
land_market_average_price_per_ga,Кіровоградська область,UA35000000000016081,,40081.1,,-1,,,12,2025,"Kirovohrad Oblast, Ukraine"
land_market_average_price_per_ga,Луганська область,UA44000000000018893,,25874.9,,-1,,,12,2025,"Luhansk Oblast, Ukraine"
