Investor ID;Name;Country of registration/origin;Classification;Investor homepage;Opencorporates link;Comment;Action comment
439;Nickel Asia Corporation (NAC);Philippines;Компания, имеющая листинг на фондовой бирже;https://nickelasia.com/;;"Nickel Asia Corporation (NAC) is a diversified natural resources development company in the Philippines, comprising six operating and two exploratory mines and interests in the country's only two high-pressure acid leach (HPAL) plants and in a renewable energy subsidiary.

PSE Stock Code: NIKL"
441;AgriNurture Inc. (ANI);Philippines;Компания, имеющая листинг на фондовой бирже;;;In 2011 Black River Capital Partners Food Fund Holdings Pte. Ltd., a wholly owned subsidiary of Black River Capital Partners Fund LP, a fund managed by the private equity arm of Cargill, has acquired a 28.11% stake in AgriNurture, Inc. (ANI).
442;Far Eastern Agricultural Investment Corporation (FEAICO);Saudi Arabia;Частная компания;;;FEAICO was established by the Saudi Arabia-based Al-Rajhi Group to produce food on around 78,000 hectare land in Mindanao, along with its local partner Aztropex.
448;Tabuk Agricultural Development Company (TADCO);Saudi Arabia;Компания, имеющая листинг на фондовой бирже;;;
453;Bronzeoak Group;United Kingdom of Great Britain and Northern Ireland;Частная компания;;;
456;Central Luzon Bioenergy Corp.;Philippines;Частная компания;;;
459;Eco Global Bio Oils;Republic of Korea;Частная компания;;;
461;Herminio Teves Company Inc;Philippines;Частная компания;;;Herminio Teves was a representative in the Congress of the Philippines.
462;Highlands Development Cooperative;Philippines;Частная компания;;;
463;Leyte Agri Corporation;Philippines;Частная компания;;;
464;OceanaGold Corporation;Australia;Компания, имеющая листинг на фондовой бирже;;;
467;Curcas Energy Australia;Australia;Частная компания;;;
478;Biosystems Co. Ltd;Republic of Korea;Частная компания;;;
480;City Government of Taguig;Philippines;Государственная компания;;;
486;Al Salam Bank-Bahrain (B.S.C.);Bahrain;Инвестиционный фонд;;;
492;Government of Kuwait;Kuwait;Государственная компания;;;
495;Ruam Jai Chao Nah (Uniting Farmers);Saudi Arabia;Частная компания;;;"the ""investor"" is not purely Saudi Arabian - it is a joint farming project between Saudi Arabian investors and Thai farmers"
496;University of Kasetsart;Thailand;Государственная компания;;;
497;Viengsa Agricultural Co-operative;Thailand;;;;The Viengsa Agricultural Co-operative is an association of farmers
498;Charoen Pokphand Group Co., Ltd. (CP Group);Thailand;Компания, имеющая листинг на фондовой бирже;https://www.cpgroupglobal.com/en/home;;Charoen Pokphand Group operates a diverse range of businesses to create synergies across industries and deliver value in all dimensions. The Group’s businesses operates a diverse business covering Agro-industry and Food, Retail and Distribution, Media and Telecommunication, E-Commerce and Digital, Property Development and Infrastructure, Automotive and Industrial Products, Pharmaceuticals, and Finance and Banking.
505;Planet Food World (PFWC);Saudi Arabia;Частная компания;;;
507;Saudi Fund for Development;Saudi Arabia;Инвестиционный фонд;;;Part of Saudi fund for development $566m investment vehicle for buying land abroad.
508;Unnamed investor 106;Saudi Arabia;Частная компания;;;Société saoudienne
515;Forest Returns;Netherlands;Частная компания;;;
517;More Trees Consultancy;Netherlands;Частная компания;;;
519;Luveco Fruits and Vegetables;Vietnam;Частная компания;;;belongs to the Northern Food Corporation, is a joint-stock company, with 55% of its capital belonging to its Chinese partner and 45% belonging to the Vietnamese state.
520;Vietnamese State;Vietnam;Государственная компания;;;
526;Sojitz Group;Japan;Компания, имеющая листинг на фондовой бирже;;;See http://www.longduc-ip.com/en/outline/index.html
529;Honda;Japan;Государственная компания;;;
530;Vinacomin;Vietnam;Государственная компания;;;
532;Abu Dhabi Fund for Development;United Arab Emirates;Государственная компания;;;
540;Unnamed investor 109;India;;;;
541;Mundra Port and Special Economic Zone Ltd. (MPSEZL);India;Частная компания;;;
543;Bharat Forge Ltd;India;Компания, имеющая листинг на фондовой бирже;;;The SEZ will be set up through the special purpose vehicle in which Bharat Forge will have 74 per cent stake. The state government will hold 24 per cent equity through its industrial infrastructure arm, Maharashtra Industrial Development Corporation (MIDC). 
549;Indiabulls Infrastructure;India;Частная компания;;;
551;JSW Steel;India;Частная компания;;;
557;Maharashtra Industrial Development Corporation Ltd;India;Государственная компания;;;It will not bring in any cash and instead will offer land and other infrastructure facilities. 
558;Mahindra Reality developers;India;;;;
562;Pondicherry SEZ Co Ltd;India;;;;
564;Reliance Infrastructure Ltd;India;Компания, имеющая листинг на фондовой бирже;;;Subsidiary of privately held Reliance Anil Dhirubhai Ambani Group
567;SKIL Infrastructure Limited;India;Компания, имеющая листинг на фондовой бирже;;;Formerly known as Horizon Infrastructure Limited
571;Videocon Industries Limited;India;Компания, имеющая листинг на фондовой бирже;;;
573;POSCO;Republic of Korea;Компания, имеющая листинг на фондовой бирже;https://www.poscointl.com/eng/foodResource.do;;Korean steel giant Posco bought a 68% controlling share of Daewoo International Corp.
576;Clenergen Corporation;United States of America;Компания, имеющая листинг на фондовой бирже;;;
579;Andhra Pradesh Industrial Infrastructure Corporation Ltd (APIIC);India;Государственная компания;https://www.apiic.in/;;
580;GMR Group;India;Фирма по управлению активами;https://www.gmrgroup.in/;;GMR Group is an Indian multinational conglomerate headquartered in New Delhi. The group was founded in 1978 by Grandhi Mallikarjuna Rao and comprises several companies including GMR Infrastructure, GMR Energy, GMR Airports, and GMR Enterprises.
581;PepsiCo, Inc.;United States of America;Компания, имеющая листинг на фондовой бирже;;;
586;Rajasthan Industrial Development Corporation (RIICO);India;Государственная компания;;;
